1056 - BRESCIA|1056-N00201
1064 - BRESCIA|1064-N00201
1065 - ISEO|1065-N00210
1068 - BRESCIA|1068-N00201
1069 - BRENO|1069-N00226
1072 - BRESCIA|1072-N00201
1073 - ISEO|1073-N00210
1074 - BRESCIA|1074-N00201
1076 - BRESCIA|1076-N00201
1080 - BRESCIA|1080-N00201
1111 - MILANO NORD CADORNA|1111-N00001
1112 - COMO NORD LAGO|1112-N00044
1115 - MILANO NORD CADORNA|1115-N00001
1118 - COMO NORD LAGO|1118-N00044
1126 - COMO NORD LAGO|1126-N00044
1128 - COMO NORD LAGO|1128-N00044
1139 - MILANO NORD CADORNA|1139-N00001
1143 - MILANO NORD CADORNA|1143-N00001
1144 - COMO NORD LAGO|1144-N00044
1148 - COMO NORD LAGO|1148-N00044
1163 - MILANO NORD CADORNA|1163-N00001
1174 - COMO NORD LAGO|1174-N00044
1177 - MILANO NORD CADORNA|1177-N00001
1181 - MILANO NORD CADORNA|1181-N00001
1182 - COMO NORD LAGO|1182-N00044
1207 - ISEO|1207-N00210
1210 - ROVATO BORGO|1210-N00236
1211 - SARONNO|1211-N00013
1213 - BORNATO - CALINO|1213-N00207
1224 - NOVARA NORD|1224-N00055
1245 - BORNATO - CALINO|1245-N00207
1263 - MILANO NORD CADORNA|1263-N00001
1606 - FOLIGNO|1606-S07217
1613 - MILANO NORD CADORNA|1613-N00001
1614 - ERBA|1614-N00074
1617 - MILANO NORD CADORNA|1617-N00001
1622 - ASSO|1622-N00079
1641 - MILANO NORD CADORNA|1641-N00001
1645 - MILANO NORD CADORNA|1645-N00001
1646 - ASSO|1646-N00079
1650 - ERBA|1650-N00074
1665 - MILANO NORD CADORNA|1665-N00001
1670 - ERBA|1670-N00074
1673 - MILANO NORD CADORNA|1673-N00001
1709 - MILANO NORD CADORNA|1709-N00001
1770 - PESARO|1770-S07104
1771 - BERGAMO|1771-S01529
1774 - RIMINI|1774-S05071
1775 - SUZZARA|1775-S02340
1783 - FIRENZE S. M. NOVELLA|1783-S06421
1784 - RIMINI|1784-S05071
1830 - S. CANDIDO INNICHEN|1830-S02114
1842 - S. CANDIDO INNICHEN|1842-S02114
1847 - FORTEZZA FRANZENSFESTE|1847-S02011
1856 - S. CANDIDO INNICHEN|1856-S02114
1861 - FORTEZZA FRANZENSFESTE|1861-S02011
1878 - S. CANDIDO INNICHEN|1878-S02114
1880 - BOLZANO |1880-S02026
1880 - FORTEZZA FRANZENSFESTE|1880-S02026
1885 - FORTEZZA FRANZENSFESTE|1885-S02011
1954 - PALERMO CENTRALE|1954-S12002
1957 - MESSINA CENTRALE|1957-S12301
1958 - PALERMO CENTRALE|1958-S12002
1961 - MESSINA CENTRALE|1961-S12301
1963 - MILANO CENTRALE|1963-S01700
1964 - PALERMO CENTRALE|1964-S12002
1965 - MESSINA CENTRALE|1965-S12301
2001 - TORINO PORTA NUOVA|2001-S00219
2002 - MILANO CENTRALE|2002-S01700
2003 - TORINO PORTA NUOVA|2003-S00219
2004 - MILANO CENTRALE|2004-S01700
2005 - TORINO PORTA NUOVA|2005-S00219
2006 - MILANO CENTRALE|2006-S01700
2007 - TORINO PORTA NUOVA|2007-S00219
2008 - MILANO CENTRALE|2008-S01700
2009 - TORINO PORTA NUOVA|2009-S00219
2010 - MILANO CENTRALE|2010-S01700
2013 - TORINO PORTA NUOVA|2013-S00219
2014 - MILANO CENTRALE|2014-S01700
2014 - LAVENO|2014-N00033
2015 - TORINO PORTA NUOVA|2015-S00219
2015 - MILANO NORD CADORNA|2015-N00001
2016 - MILANO CENTRALE|2016-S01700
2016 - LAVENO|2016-N00033
2017 - TORINO PORTA NUOVA|2017-S00219
2018 - MILANO CENTRALE|2018-S01700
2019 - TORINO PORTA NUOVA|2019-S00219
2020 - MILANO CENTRALE|2020-S01700
2021 - TORINO PORTA NUOVA|2021-S00219
2022 - MILANO CENTRALE|2022-S01700
2023 - TORINO PORTA NUOVA|2023-S00219
2024 - MILANO CENTRALE|2024-S01700
2024 - LAVENO|2024-N00033
2025 - TORINO PORTA NUOVA|2025-S00219
2026 - MILANO CENTRALE|2026-S01700
2027 - TORINO PORTA NUOVA|2027-S00219
2028 - MILANO CENTRALE|2028-S01700
2029 - TORINO PORTA NUOVA|2029-S00219
2030 - MILANO CENTRALE|2030-S01700
2030 - LAVENO|2030-N00033
2031 - TORINO PORTA NUOVA|2031-S00219
2032 - MILANO CENTRALE|2032-S01700
2033 - TORINO PORTA NUOVA|2033-S00219
2034 - MILANO CENTRALE|2034-S01700
2036 - MILANO CENTRALE|2036-S01700
2037 - TORINO PORTA NUOVA|2037-S00219
